election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,MAIL-IN,18,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,TOTAL,62,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,ELECTION DAY,256,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,PROVISIONAL,1,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,MAIL-IN,41,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,TOTAL,298,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,JOHN C THOMAS,LIB,ELECTION DAY,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,JOHN C THOMAS,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,JOHN C THOMAS,LIB,MAIL-IN,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,JOHN C THOMAS,LIB,TOTAL,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,LEILA HAZOU,GRN,ELECTION DAY,1,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,LEILA HAZOU,GRN,PROVISIONAL,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,LEILA HAZOU,GRN,MAIL-IN,1,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,LEILA HAZOU,GRN,TOTAL,2,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,MARTY SELKER,CST,ELECTION DAY,1,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,MARTY SELKER,CST,PROVISIONAL,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,MARTY SELKER,CST,MAIL-IN,1,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,UNITED STATES SENATOR,MARTY SELKER,CST,TOTAL,2,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,ATTORNEY GENERAL,EUGENE DEPASQUALE,DEM,ELECTION DAY,34,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,ATTORNEY GENERAL,EUGENE DEPASQUALE,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,ATTORNEY GENERAL,EUGENE DEPASQUALE,DEM,MAIL-IN,16,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,ATTORNEY GENERAL,EUGENE DEPASQUALE,DEM,TOTAL,50,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,ATTORNEY GENERAL,DAVE SUNDAY,REP,ELECTION DAY,257,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,ATTORNEY GENERAL,DAVE SUNDAY,REP,PROVISIONAL,1,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,ATTORNEY GENERAL,DAVE SUNDAY,REP,MAIL-IN,41,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,ATTORNEY GENERAL,DAVE SUNDAY,REP,TOTAL,299,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,ATTORNEY GENERAL,ROBERT COWBURN,LIB,ELECTION DAY,6,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,ATTORNEY GENERAL,ROBERT COWBURN,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
