election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,AUDITOR GENERAL,TIM DEFOOR,REP,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,AUDITOR GENERAL,TIM DEFOOR,REP,MAIL-IN,70,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,AUDITOR GENERAL,TIM DEFOOR,REP,TOTAL,699,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,AUDITOR GENERAL,REECE SMITH,LIB,ELECTION DAY,11,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,AUDITOR GENERAL,REECE SMITH,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,AUDITOR GENERAL,REECE SMITH,LIB,MAIL-IN,1,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,AUDITOR GENERAL,REECE SMITH,LIB,TOTAL,12,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,AUDITOR GENERAL,ERIC K ANTON,AS,ELECTION DAY,2,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,AUDITOR GENERAL,ERIC K ANTON,AS,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,AUDITOR GENERAL,ERIC K ANTON,AS,MAIL-IN,1,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,AUDITOR GENERAL,ERIC K ANTON,AS,TOTAL,3,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,AUDITOR GENERAL,BOB GOODRICH,CON,ELECTION DAY,5,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,AUDITOR GENERAL,BOB GOODRICH,CON,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,AUDITOR GENERAL,BOB GOODRICH,CON,MAIL-IN,0,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,AUDITOR GENERAL,BOB GOODRICH,CON,TOTAL,5,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,STATE TREASURER,ERIN MCCLELLAND,DEM,ELECTION DAY,63,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,STATE TREASURER,ERIN MCCLELLAND,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,STATE TREASURER,ERIN MCCLELLAND,DEM,MAIL-IN,48,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,STATE TREASURER,ERIN MCCLELLAND,DEM,TOTAL,111,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,STATE TREASURER,STACY GARRITY,REP,ELECTION DAY,625,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,STATE TREASURER,STACY GARRITY,REP,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,STATE TREASURER,STACY GARRITY,REP,MAIL-IN,68,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,STATE TREASURER,STACY GARRITY,REP,TOTAL,693,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,STATE TREASURER,NICKOLAS CIESIELSKI,LIB,ELECTION DAY,10,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,STATE TREASURER,NICKOLAS CIESIELSKI,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,STATE TREASURER,NICKOLAS CIESIELSKI,LIB,MAIL-IN,1,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,STATE TREASURER,NICKOLAS CIESIELSKI,LIB,TOTAL,11,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,STATE TREASURER,TROY BOWMAN,CON,ELECTION DAY,5,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
2024 GENERAL,PENNSYLVANIA,Fulton,BETHEL TOWNSHIP,Fulton,STATE TREASURER,TROY BOWMAN,CON,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.co.fulton.pa.us/files/elections/live-results/2024/General%20Election/Bethel%20Township.pdf,Bethel Township.pdf,11/05/2024 9:31 PM
