election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,MERCER COUNTY,Clark Borough,MERCER COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,ELECTION DAY,83,0,OFFICIAL RESULTS,https://www.mercercountypa.gov/election/Election.Results/2024/GENERAL/Precinct.pdf,Precinct.pdf,11/26/2024 10:10 AM
2024 GENERAL,PENNSYLVANIA,MERCER COUNTY,Clark Borough,MERCER COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,PROVISIONAL,1,0,OFFICIAL RESULTS,https://www.mercercountypa.gov/election/Election.Results/2024/GENERAL/Precinct.pdf,Precinct.pdf,11/26/2024 10:10 AM
2024 GENERAL,PENNSYLVANIA,MERCER COUNTY,Clark Borough,MERCER COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,MAIL-IN,43,0,OFFICIAL RESULTS,https://www.mercercountypa.gov/election/Election.Results/2024/GENERAL/Precinct.pdf,Precinct.pdf,11/26/2024 10:10 AM
2024 GENERAL,PENNSYLVANIA,MERCER COUNTY,Clark Borough,MERCER COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,TOTAL,127,0,OFFICIAL RESULTS,https://www.mercercountypa.gov/election/Election.Results/2024/GENERAL/Precinct.pdf,Precinct.pdf,11/26/2024 10:10 AM
2024 GENERAL,PENNSYLVANIA,MERCER COUNTY,Clark Borough,MERCER COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,ELECTION DAY,194,0,OFFICIAL RESULTS,https://www.mercercountypa.gov/election/Election.Results/2024/GENERAL/Precinct.pdf,Precinct.pdf,11/26/2024 10:10 AM
2024 GENERAL,PENNSYLVANIA,MERCER COUNTY,Clark Borough,MERCER COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.mercercountypa.gov/election/Election.Results/2024/GENERAL/Precinct.pdf,Precinct.pdf,11/26/2024 10:10 AM
2024 GENERAL,PENNSYLVANIA,MERCER COUNTY,Clark Borough,MERCER COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,MAIL-IN,33,0,OFFICIAL RESULTS,https://www.mercercountypa.gov/election/Election.Results/2024/GENERAL/Precinct.pdf,Precinct.pdf,11/26/2024 10:10 AM
2024 GENERAL,PENNSYLVANIA,MERCER COUNTY,Clark Borough,MERCER COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,TOTAL,227,0,OFFICIAL RESULTS,https://www.mercercountypa.gov/election/Election.Results/2024/GENERAL/Precinct.pdf,Precinct.pdf,11/26/2024 10:10 AM
2024 GENERAL,PENNSYLVANIA,MERCER COUNTY,Clark Borough,MERCER COUNTY,UNITED STATES SENATOR,JOHN C THOMAS,LIB,ELECTION DAY,5,0,OFFICIAL RESULTS,https://www.mercercountypa.gov/election/Election.Results/2024/GENERAL/Precinct.pdf,Precinct.pdf,11/26/2024 10:10 AM
2024 GENERAL,PENNSYLVANIA,MERCER COUNTY,Clark Borough,MERCER COUNTY,UNITED STATES SENATOR,JOHN C THOMAS,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.mercercountypa.gov/election/Election.Results/2024/GENERAL/Precinct.pdf,Precinct.pdf,11/26/2024 10:10 AM
2024 GENERAL,PENNSYLVANIA,MERCER COUNTY,Clark Borough,MERCER COUNTY,UNITED STATES SENATOR,JOHN C THOMAS,LIB,MAIL-IN,0,0,OFFICIAL RESULTS,https://www.mercercountypa.gov/election/Election.Results/2024/GENERAL/Precinct.pdf,Precinct.pdf,11/26/2024 10:10 AM
