election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,SOMERSET COUNTY,Northampton Township,SOMERSET COUNTY,PA ATTORNEY GENERAL,Robert Cowburn,LIB,TOTAL,3,,OFFICIAL,https://www.co.somerset.pa.us/files/voter_files/ElectionResultsUpload/2024%20Attorney%20General%20Race.pdf,2024 Attorney General Race.pdf,12/30 8:00 PM
2024 GENERAL,PENNSYLVANIA,SOMERSET COUNTY,Northampton Township,SOMERSET COUNTY,PA ATTORNEY GENERAL,Richard L. Weiss,GRN,TOTAL,1,,OFFICIAL,https://www.co.somerset.pa.us/files/voter_files/ElectionResultsUpload/2024%20Attorney%20General%20Race.pdf,2024 Attorney General Race.pdf,12/30 8:00 PM
2024 GENERAL,PENNSYLVANIA,SOMERSET COUNTY,Northampton Township,SOMERSET COUNTY,PA ATTORNEY GENERAL,Justin L. Magill,CST,TOTAL,1,,OFFICIAL,https://www.co.somerset.pa.us/files/voter_files/ElectionResultsUpload/2024%20Attorney%20General%20Race.pdf,2024 Attorney General Race.pdf,12/30 8:00 PM
2024 GENERAL,PENNSYLVANIA,SOMERSET COUNTY,Northampton Township,SOMERSET COUNTY,PA ATTORNEY GENERAL,Eric L. Settle,FWD,TOTAL,0,,OFFICIAL,https://www.co.somerset.pa.us/files/voter_files/ElectionResultsUpload/2024%20Attorney%20General%20Race.pdf,2024 Attorney General Race.pdf,12/30 8:00 PM
2024 GENERAL,PENNSYLVANIA,SOMERSET COUNTY,Northampton Township,SOMERSET COUNTY,PA ATTORNEY GENERAL,WRITE-IN,WRITE-IN,TOTAL,0,,OFFICIAL,https://www.co.somerset.pa.us/files/voter_files/ElectionResultsUpload/2024%20Attorney%20General%20Race.pdf,2024 Attorney General Race.pdf,12/30 8:00 PM
2024 GENERAL,PENNSYLVANIA,SOMERSET COUNTY,Ogle Township,SOMERSET COUNTY,PA ATTORNEY GENERAL,Eugene DePasquale,DEM,TOTAL,58,,OFFICIAL,https://www.co.somerset.pa.us/files/voter_files/ElectionResultsUpload/2024%20Attorney%20General%20Race.pdf,2024 Attorney General Race.pdf,12/30 8:00 PM
2024 GENERAL,PENNSYLVANIA,SOMERSET COUNTY,Ogle Township,SOMERSET COUNTY,PA ATTORNEY GENERAL,Dave Sunday,REP,TOTAL,247,,OFFICIAL,https://www.co.somerset.pa.us/files/voter_files/ElectionResultsUpload/2024%20Attorney%20General%20Race.pdf,2024 Attorney General Race.pdf,12/30 8:00 PM
2024 GENERAL,PENNSYLVANIA,SOMERSET COUNTY,Ogle Township,SOMERSET COUNTY,PA ATTORNEY GENERAL,Robert Cowburn,LIB,TOTAL,6,,OFFICIAL,https://www.co.somerset.pa.us/files/voter_files/ElectionResultsUpload/2024%20Attorney%20General%20Race.pdf,2024 Attorney General Race.pdf,12/30 8:00 PM
2024 GENERAL,PENNSYLVANIA,SOMERSET COUNTY,Ogle Township,SOMERSET COUNTY,PA ATTORNEY GENERAL,Richard L. Weiss,GRN,TOTAL,1,,OFFICIAL,https://www.co.somerset.pa.us/files/voter_files/ElectionResultsUpload/2024%20Attorney%20General%20Race.pdf,2024 Attorney General Race.pdf,12/30 8:00 PM
2024 GENERAL,PENNSYLVANIA,SOMERSET COUNTY,Ogle Township,SOMERSET COUNTY,PA ATTORNEY GENERAL,Justin L. Magill,CST,TOTAL,2,,OFFICIAL,https://www.co.somerset.pa.us/files/voter_files/ElectionResultsUpload/2024%20Attorney%20General%20Race.pdf,2024 Attorney General Race.pdf,12/30 8:00 PM
