election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,PRESIDENTIAL ELECTORS,STEIN,GRN,MAIL-IN,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,PRESIDENTIAL ELECTORS,STEIN,GRN,TOTAL,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,ELECTION DAY,19,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,MAIL-IN,10,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,ROBERT P CASEY JR,DEM,TOTAL,29,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,ELECTION DAY,109,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,PROVISIONAL,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,MAIL-IN,25,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,DAVE MCCORMICK,REP,TOTAL,134,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,JOHN C THOMAS,LIB,ELECTION DAY,1,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,JOHN C THOMAS,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,JOHN C THOMAS,LIB,MAIL-IN,1,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,JOHN C THOMAS,LIB,TOTAL,2,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,LEILA HAZOU,GRN,ELECTION DAY,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,LEILA HAZOU,GRN,PROVISIONAL,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,LEILA HAZOU,GRN,MAIL-IN,1,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,LEILA HAZOU,GRN,TOTAL,1,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,MARTY SELKER,CST,ELECTION DAY,1,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,MARTY SELKER,CST,PROVISIONAL,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,MARTY SELKER,CST,MAIL-IN,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,UNITED STATES SENATOR,MARTY SELKER,CST,TOTAL,1,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,ATTORNEY GENERAL,EUGENE DEPASQUALE,DEM,ELECTION DAY,16,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,ATTORNEY GENERAL,EUGENE DEPASQUALE,DEM,PROVISIONAL,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,ATTORNEY GENERAL,EUGENE DEPASQUALE,DEM,MAIL-IN,9,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,ATTORNEY GENERAL,EUGENE DEPASQUALE,DEM,TOTAL,25,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,ATTORNEY GENERAL,DAVE SUNDAY,REP,ELECTION DAY,108,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,ATTORNEY GENERAL,DAVE SUNDAY,REP,PROVISIONAL,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,ATTORNEY GENERAL,DAVE SUNDAY,REP,MAIL-IN,26,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,ATTORNEY GENERAL,DAVE SUNDAY,REP,TOTAL,134,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,ATTORNEY GENERAL,ROBERT COWBURN,LIB,ELECTION DAY,3,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
2024 GENERAL,PENNSYLVANIA,POTTER COUNTY,ABBOTT TOWNSHIP,POTTER COUNTY,ATTORNEY GENERAL,ROBERT COWBURN,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://pottercountypa.gov/wp-content/uploads/2024/11/OfficialPotterCountyPrecinctResults.pdf,OfficialPotterCountyPrecinctResults.pdf,11/25/2024 08:38 AM
