election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,ELK COUNTY,ST MARYS 1ST,ELK COUNTY,AUDITOR GENERAL,TIM DEFOOR,REP,TOTAL,587,0,OFFICIAL RESULTS,https://www.co.elk.pa.us/images/Elections/GeneralPSummary2024.pdf,GeneralPSummary2024.pdf,11/19/2024    09:48 AM 
2024 GENERAL,PENNSYLVANIA,ELK COUNTY,ST MARYS 1ST,ELK COUNTY,AUDITOR GENERAL,REECE SMITH,LIB,ELECTION DAY,14,0,OFFICIAL RESULTS,https://www.co.elk.pa.us/images/Elections/GeneralPSummary2024.pdf,GeneralPSummary2024.pdf,11/19/2024    09:48 AM 
2024 GENERAL,PENNSYLVANIA,ELK COUNTY,ST MARYS 1ST,ELK COUNTY,AUDITOR GENERAL,REECE SMITH,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.co.elk.pa.us/images/Elections/GeneralPSummary2024.pdf,GeneralPSummary2024.pdf,11/19/2024    09:48 AM 
2024 GENERAL,PENNSYLVANIA,ELK COUNTY,ST MARYS 1ST,ELK COUNTY,AUDITOR GENERAL,REECE SMITH,LIB,MAIL-IN,2,0,OFFICIAL RESULTS,https://www.co.elk.pa.us/images/Elections/GeneralPSummary2024.pdf,GeneralPSummary2024.pdf,11/19/2024    09:48 AM 
2024 GENERAL,PENNSYLVANIA,ELK COUNTY,ST MARYS 1ST,ELK COUNTY,AUDITOR GENERAL,REECE SMITH,LIB,TOTAL,16,0,OFFICIAL RESULTS,https://www.co.elk.pa.us/images/Elections/GeneralPSummary2024.pdf,GeneralPSummary2024.pdf,11/19/2024    09:48 AM 
2024 GENERAL,PENNSYLVANIA,ELK COUNTY,ST MARYS 1ST,ELK COUNTY,AUDITOR GENERAL,ERIC K ANTON,ASP,ELECTION DAY,2,0,OFFICIAL RESULTS,https://www.co.elk.pa.us/images/Elections/GeneralPSummary2024.pdf,GeneralPSummary2024.pdf,11/19/2024    09:48 AM 
2024 GENERAL,PENNSYLVANIA,ELK COUNTY,ST MARYS 1ST,ELK COUNTY,AUDITOR GENERAL,ERIC K ANTON,ASP,PROVISIONAL,1,0,OFFICIAL RESULTS,https://www.co.elk.pa.us/images/Elections/GeneralPSummary2024.pdf,GeneralPSummary2024.pdf,11/19/2024    09:48 AM 
2024 GENERAL,PENNSYLVANIA,ELK COUNTY,ST MARYS 1ST,ELK COUNTY,AUDITOR GENERAL,ERIC K ANTON,ASP,MAIL-IN,0,0,OFFICIAL RESULTS,https://www.co.elk.pa.us/images/Elections/GeneralPSummary2024.pdf,GeneralPSummary2024.pdf,11/19/2024    09:48 AM 
2024 GENERAL,PENNSYLVANIA,ELK COUNTY,ST MARYS 1ST,ELK COUNTY,AUDITOR GENERAL,ERIC K ANTON,ASP,TOTAL,3,0,OFFICIAL RESULTS,https://www.co.elk.pa.us/images/Elections/GeneralPSummary2024.pdf,GeneralPSummary2024.pdf,11/19/2024    09:48 AM 
2024 GENERAL,PENNSYLVANIA,ELK COUNTY,ST MARYS 1ST,ELK COUNTY,AUDITOR GENERAL,BOB GOODRICH,CST,ELECTION DAY,6,0,OFFICIAL RESULTS,https://www.co.elk.pa.us/images/Elections/GeneralPSummary2024.pdf,GeneralPSummary2024.pdf,11/19/2024    09:48 AM 
2024 GENERAL,PENNSYLVANIA,ELK COUNTY,ST MARYS 1ST,ELK COUNTY,AUDITOR GENERAL,BOB GOODRICH,CST,PROVISIONAL,1,0,OFFICIAL RESULTS,https://www.co.elk.pa.us/images/Elections/GeneralPSummary2024.pdf,GeneralPSummary2024.pdf,11/19/2024    09:48 AM 
2024 GENERAL,PENNSYLVANIA,ELK COUNTY,ST MARYS 1ST,ELK COUNTY,AUDITOR GENERAL,BOB GOODRICH,CST,MAIL-IN,1,0,OFFICIAL RESULTS,https://www.co.elk.pa.us/images/Elections/GeneralPSummary2024.pdf,GeneralPSummary2024.pdf,11/19/2024    09:48 AM 
