election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,PRESIDENTIAL ELECTORS,Donald J. Trump,REP,PROVISIONAL,4,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,PRESIDENTIAL ELECTORS,Donald J. Trump,REP,MAIL-IN,100,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,PRESIDENTIAL ELECTORS,Donald J. Trump,REP,TOTAL,684,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,PRESIDENTIAL ELECTORS,Chase Oliver,LIB,ELECTION DAY,11,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,PRESIDENTIAL ELECTORS,Chase Oliver,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,PRESIDENTIAL ELECTORS,Chase Oliver,LIB,MAIL-IN,0,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,PRESIDENTIAL ELECTORS,Chase Oliver,LIB,TOTAL,11,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,PRESIDENTIAL ELECTORS,Jill Stein,GRN,ELECTION DAY,0,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,PRESIDENTIAL ELECTORS,Jill Stein,GRN,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,PRESIDENTIAL ELECTORS,Jill Stein,GRN,MAIL-IN,0,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,PRESIDENTIAL ELECTORS,Jill Stein,GRN,TOTAL,0,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
