election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,PRESIDENTIAL ELECTORS,Jill Stein,GRN,MAIL-IN,0,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,PRESIDENTIAL ELECTORS,Jill Stein,GRN,TOTAL,0,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,Robert P. Casey Jr.,DEM,ELECTION DAY,10,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,Robert P. Casey Jr.,DEM,PROVISIONAL,0,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,Robert P. Casey Jr.,DEM,MAIL-IN,4,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,Robert P. Casey Jr.,DEM,TOTAL,14,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,Dave McCormick,REP,ELECTION DAY,30,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,Dave McCormick,REP,PROVISIONAL,0,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,Dave McCormick,REP,MAIL-IN,3,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,Dave McCormick,REP,TOTAL,33,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,John C. Thomas,LIB,ELECTION DAY,0,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,John C. Thomas,LIB,PROVISIONAL,0,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,John C. Thomas,LIB,MAIL-IN,0,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,John C. Thomas,LIB,TOTAL,0,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,Leila Hazou,GRN,ELECTION DAY,0,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,Leila Hazou,GRN,PROVISIONAL,0,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,Leila Hazou,GRN,MAIL-IN,0,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,Leila Hazou,GRN,TOTAL,0,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,Marty Selker,CST,ELECTION DAY,0,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,Marty Selker,CST,PROVISIONAL,0,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,Marty Selker,CST,MAIL-IN,0,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
2024 GENERAL,PENNSYLVANIA,INDIANA COUNTY,Armagh,INDIANA COUNTY,UNITED STATES SENATOR,Marty Selker,CST,TOTAL,0,0,UNOFFICIAL RESULTS,https://media-cdn.socastsrm.com/wordpress/wp-content/blogs.dir/2140/files/2024/11/precinct-1-4.pdf,precinct-1-4.pdf, 11/05/2024 10:22 PM
